karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat,fkdr,wlr,bblr,fk_lev,bb_lev,kill_lev
737015.0,5716349.0,662.0,0.0,1628.0,431.0,49.0,41.0,0.0,194.0,0.0,0.0,152.0,75.0,122.0,234682.0,13301.0,659.0,283.0,143852.0,1136.0,2615.0,1206.0,33.0,5.0,23.0,47.0,249.0,941.0,448.0,536.0,1263.0,254.0,589.0,87.0,234.0,405.0,194.0,0,3.7791164658634537,0.7637795275590551,2.3286219081272086,19.20408163265306,25.775510204081634,13.448979591836734
5.0,93055.0,67.0,0.0,158.0,10.0,4.0,0.0,0.0,12.0,0.0,0.0,15.0,6.0,0.0,9672.0,685.0,67.0,8.0,6845.0,53.0,130.0,13.0,3.0,0.0,1.0,4.0,16.0,84.0,43.0,44.0,63.0,31.0,15.0,1.0,25.0,16.0,12.0,0,5.25,0.3870967741935484,8.375,21.0,15.75,16.75
8495.0,901938.0,77.0,0.0,414.0,83.0,10.0,4.0,0.0,66.0,0.0,0.0,11.0,22.0,0.0,41992.0,4358.0,77.0,173.0,31338.0,632.0,2425.0,1010.0,8.0,3.0,3.0,20.0,200.0,260.0,299.0,301.0,783.0,230.0,363.0,90.0,57.0,286.0,65.0,0,1.3,0.2826086956521739,0.44508670520231214,26.0,78.3,7.7
8495.0,901938.0,77.0,0.0,414.0,83.0,10.0,4.0,0.0,66.0,0.0,0.0,11.0,22.0,0.0,41992.0,4358.0,77.0,173.0,31338.0,632.0,2425.0,1010.0,8.0,3.0,3.0,20.0,200.0,260.0,299.0,301.0,783.0,230.0,363.0,90.0,57.0,286.0,65.0,0,1.3,0.2826086956521739,0.44508670520231214,26.0,78.3,7.7
127010.0,422090.0,69.0,0.0,262.0,74.0,7.0,0.0,0.0,37.0,0.0,0.0,14.0,22.0,0.0,24110.0,3707.0,68.0,118.0,24145.0,550.0,551.0,208.0,21.0,4.0,5.0,22.0,222.0,148.0,292.0,292.0,356.0,252.0,173.0,33.0,50.0,132.0,37.0,0,0.6666666666666666,0.14682539682539683,0.576271186440678,21.142857142857142,50.857142857142854,9.714285714285714
19359902.0,107757699.0,4449.0,30.0,11605.0,5795.0,429.0,250.0,139084.0,2158.0,0.0,0.0,864.0,591.0,746.0,2083988.0,108359.0,4398.0,1740.0,5098232.0,9984.0,22697.0,8289.0,313.0,47.0,206.0,475.0,1303.0,8661.0,3451.0,3896.0,9907.0,1287.0,5315.0,614.0,2418.0,3656.0,2148.0,0,6.646968534151957,1.668997668997669,2.527586206896552,20.18881118881119,23.093240093240095,10.251748251748252
5358265.0,40172706.0,3643.0,29.0,12255.0,12291.0,455.0,11.0,65540.0,3000.0,0.0,0.0,632.0,613.0,31.0,2211131.0,156673.0,3599.0,2501.0,3601453.0,15424.0,22603.0,11872.0,731.0,118.0,249.0,743.0,2103.0,9330.0,5011.0,5366.0,11559.0,2009.0,7318.0,750.0,3024.0,5212.0,2994.0,0,4.436519258202567,1.4902936784469885,1.4390243902439024,20.505494505494507,25.404395604395603,7.90989010989011
23805.0,544296.0,121.0,0.0,356.0,207.0,14.0,1.0,0.0,93.0,0.0,0.0,26.0,16.0,0.0,52644.0,5997.0,121.0,148.0,41811.0,828.0,639.0,350.0,27.0,3.0,1.0,13.0,137.0,179.0,231.0,232.0,438.0,133.0,382.0,53.0,80.0,235.0,92.0,0,1.3065693430656935,0.6917293233082706,0.8175675675675675,12.785714285714286,31.285714285714285,8.642857142857142
1740.0,1523770.0,598.0,2.0,3557.0,2165.0,55.0,53.0,0.0,360.0,0.0,0.0,130.0,109.0,159.0,265858.0,26793.0,597.0,779.0,226265.0,3544.0,3624.0,2073.0,137.0,24.0,50.0,235.0,769.0,1912.0,1135.0,1370.0,4909.0,771.0,1393.0,150.0,562.0,1687.0,360.0,0,2.4863459037711313,0.4669260700389105,0.766367137355584,34.763636363636365,89.25454545454545,10.854545454545455
1225.0,149657.0,4.0,0.0,27.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,990.0,105.0,4.0,1,197.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,5.0,17.0,3.0,3.0,0.0,6.0,8.0,2.0,0,16.0,0.6666666666666666,4.0,16.0,17.0,4.0
