karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
47101485,131974223.0,1705,18,3667,1014,108,82,25,470,0,0,333,79,227,516072.0,36841,1654,732,744042,3274,3807,1357,109,30,42,108,629,2080,1148,1373,3044,671,1836,236,799,1450,466,1
20247065,26422858.0,2,0,20,3,4,13,0,4,0,0,0,8,38,7105,120,1,8,121996,18,88,26,0,0,0,1,8,3,9,23,14,8,8,4,0,5,1,1
24330100,71447055.0,429,0,2182,692,46,4,0,223,0,0,95,180,0,220081,20193,429,429,213543,1513,6073,3279,37,7,14,119,382,1150,606,608,4162,376,768,161,274,1416,223,1
460875,7709354.0,1527,0,2163,1162,63,61,1276,206,0,0,305,116,179,302817,50304,1525,1649,170726,5014,4619,3808,194,48,38,182,1702,1588,1942,1970,3236,1736,2908,703,527,1238,206,1
40297840,299343641.0,12539,30,36883,4577,739,538,126,5810,0,0,1836,735,1610,3592138,230406,12416,3475,3309094,27801,41302,21714,778,107,582,853,2356,23539,8114,9074,25361,2288,14254,967,8122,12340,5783,1
22483080,183475432.0,856,0,1679,532,78,107,0,354,0,0,25,37,262,380724.0,17386,845,328,749644,1543,5102,3810,34,7,18,75,227,1339,572,608,2755,235,891,91,404,1032,335,1
16006660,91124326.0,437,1,1307,325,77,127,903,285,0,0,61,53,375,375834,20155,422,846,1017691,2588,2037,1936,79,20,30,82,863,795,1242,1313,2099,906,1321,249,246,788,284,1
3135360,41226806.0,60,0,200,0,10,25,0,35,0,0,9,23,57,33075,2494,60,46,57633,86,1082,557,3,0,0,3,34,117,68,70,399,33,38,16,36,168,35,1
30360,2949278.0,275,0,658,279,14,3,0,67,0,0,73,40,9,57130,7424,272,186,62107,622,1269,972,9,6,7,29,174,426,242,242,897,175,300,56,120,291,67,1
43201000,189072923.0,7991,30,24496,3224,445,766,355,3699,0,0,1350,779,2264,2162220,214148,7939,4688,435380,26570,32489,23377,633,152,245,362,4119,12365,7760,8090,13719,4045,14700,1608,4512,6896,3637,1
