karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
0,55670.0,7,0,49,2,4,0,0,50,0,0,1,1,0,9336,1539,7,5,2091,20,79,24,0,0,2,2,5,49,55,62,85,5,11,1,21,41,50,0
10,34240.0,33,0,81,50,3,0,0,12,0,0,5,2,0,6869,1197,33,34,12165,164,52,13,5,2,1,6,58,81,116,118,105,104,42,16,12,30,12,0
0,125452,45,0,87,26,4,2,0,14,0,0,8,7,3,8014,1494,45,40,63957,197,156,25,3,1,2,2,55,72,124,127,109,108,74,18,19,31,14,0
10,113337.0,0,0,5,0,3,1,0,3,0,0,0,1,0,3906,422,0,13,665,54,34,21,0,0,0,2,25,4,38,38,26,31,26,6,1,4,3,0
0,15709,19,0,28,3,2,0,0,4,0,0,2,2,0,3096,592,19,21,692,94,40,6,2,0,1,0,29,30,71,71,48,67,20,13,6,11,4,0
200,147692,137,0,320,84,10,12,0,37,0,0,26,6,34,38479,6944,136,164,11722,1314,399,118,7,2,0,6,413,188,523,551,391,486,824,63,43,148,37,0
1190,827155,472,0,730,845,16,16,0,121,0,0,115,38,48,67441,13397,469,283,90258,1390,1158,220,53,10,14,39,306,730,444,444,1203,323,852,116,220,544,121,0
742215,2021240.0,17,0,30,22,3,0,0,2,0,0,4,0,0,4142,630,17,21,2090,96,20,29,6,0,2,3,21,18,23,23,48,21,62,8,4,21,2,0
175,385682,48,0,157,157,10,6,0,31,0,0,7,49,18,40867,6712,48,138,8295,397,1749,734,8,4,2,23,148,157,179,179,661,148,232,52,54,314,31,0
46895,248016.0,26,0,126,112,12,5,0,55,0,0,5,14,9,48079,3040,26,182,27844,554,448,158,11,5,2,9,257,84,337,346,411,267,276,71,21,126,55,0
